
Host: HogEye

Timers On : Fri Feb  4 13:46:51 2022
Timers Off: Fri Feb  4 13:46:52 2022

Wall Time:        0.88 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 13:48:00 2022
Timers Off: Fri Feb  4 13:48:00 2022

Wall Time:        0.32 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 13:49:46 2022
Timers Off: Fri Feb  4 13:49:47 2022

Wall Time:        0.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 13:49:46 2022
Timers Off: Fri Feb  4 13:49:47 2022

Wall Time:        1.10 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:02:48 2022
Timers Off: Fri Feb  4 14:02:49 2022

Wall Time:        0.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:02:48 2022
Timers Off: Fri Feb  4 14:02:49 2022

Wall Time:        1.10 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:06:32 2022
Timers Off: Fri Feb  4 14:06:33 2022

Wall Time:        0.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:14:39 2022
Timers Off: Fri Feb  4 14:15:14 2022

Wall Time:       34.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| JK: JK                            :      0.000u      0.000s      3.100w    360 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.114w    215 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    215 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.013w    215 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.042w    215 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.315w    145 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    360 calls
HF: Form F                          :      0.000u      0.000s      0.003w    360 calls
HF: Form D                          :      0.000u      0.000s      0.002w    360 calls
HF: DIIS                            :      0.000u      0.000s      0.250w    357 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.004w    344 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.017w    344 calls
| | bMatrix setup                   :      0.000u      0.000s      0.002w    344 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.006w    344 calls
| | New vector                      :      0.000u      0.000s      0.008w    344 calls
HF: Form C                          :      0.000u      0.000s      0.197w    357 calls
Grad: V T Perturb                   :      0.000u      0.000s      1.478w     15 calls
Grad: S                             :      0.000u      0.000s      0.002w     15 calls
Grad: JK                            :      0.000u      0.000s      0.832w     15 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.219w     90 calls
Grad: XC                            :      0.000u      0.000s      0.000w     15 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.000u      0.000s      0.206w      1 calls
Hess: T                             :      0.000u      0.000s      0.001w      1 calls
Hess: S                             :      0.000u      0.000s      0.000w      1 calls
Hess: JK                            :      0.000u      0.000s      0.228w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.015w      6 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.016w      7 calls
JK: D                               :      0.000u      0.000s      0.001w     14 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     14 calls
JK: JK                              :      0.000u      0.000s      1.613w     14 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.030w     14 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     14 calls

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:29:44 2022
Timers Off: Fri Feb  4 14:29:58 2022

Wall Time:       13.29 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:37:29 2022
Timers Off: Fri Feb  4 15:08:41 2022

Wall Time:     1872.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 15:09:47 2022
Timers Off: Fri Feb  4 15:09:48 2022

Wall Time:        0.33 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 15:38:11 2022
Timers Off: Fri Feb  4 15:38:11 2022

Wall Time:        0.32 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 15:41:15 2022
Timers Off: Fri Feb  4 15:41:15 2022

Wall Time:        0.31 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 15:43:13 2022
Timers Off: Fri Feb  4 15:43:14 2022

Wall Time:        0.33 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 15:44:34 2022
Timers Off: Fri Feb  4 15:44:34 2022

Wall Time:        0.33 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 15:48:55 2022
Timers Off: Fri Feb  4 15:48:55 2022

Wall Time:        0.33 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 15:49:58 2022
Timers Off: Fri Feb  4 15:49:59 2022

Wall Time:        0.33 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 15:51:10 2022
Timers Off: Fri Feb  4 15:51:10 2022

Wall Time:        0.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Mon Feb  7 16:07:36 2022
Timers Off: Mon Feb  7 16:07:48 2022

Wall Time:       12.67 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Mon Feb  7 16:40:12 2022
Timers Off: Mon Feb  7 16:40:13 2022

Wall Time:        0.47 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Mon Feb  7 16:47:45 2022
Timers Off: Mon Feb  7 16:48:03 2022

Wall Time:       18.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.089w     16 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.908w    390 calls
DFH: initialize()                   :      0.000u      0.000s      0.470w     16 calls
DFH: AO Construction                :      0.000u      0.000s      0.081w     16 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.045w     16 calls
HF: Form core H                     :      0.000u      0.000s      0.079w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.011w     16 calls
HF: Guess                           :      0.000u      0.000s      0.160w     16 calls
SAD Guess                           :      0.000u      0.000s      0.156w      3 calls
HF: Form G                          :      0.000u      0.000s      4.624w    360 calls
JK: D                               :      0.000u      0.000s      0.005w    374 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w    374 calls
JK: JK                              :      0.000u      0.000s      6.918w    374 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.184w    215 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    215 calls
DFH: compute_J                      :      0.000u      0.000s      0.024w    215 calls
DFH: compute_K                      :      0.000u      0.000s      0.094w    215 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    374 calls
HF: Form F                          :      0.000u      0.000s      0.004w    360 calls
HF: Form D                          :      0.000u      0.000s      0.003w    360 calls
HF: DIIS                            :      0.000u      0.000s      0.357w    357 calls
DIISManager::add_entry              :      0.000u      0.000s      0.006w    344 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.025w    344 calls
bMatrix setup                       :      0.000u      0.000s      0.003w    344 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.008w    344 calls
New vector                          :      0.000u      0.000s      0.012w    344 calls
HF: Form C                          :      0.000u      0.000s      0.289w    357 calls
Grad: V T Perturb                   :      0.000u      0.000s      1.950w     15 calls
Grad: S                             :      0.000u      0.000s      0.003w     15 calls
Grad: JK                            :      0.000u      0.000s      1.180w     15 calls
Grad: XC                            :      0.000u      0.000s      0.000w     15 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.000u      0.000s      0.281w      1 calls
Hess: T                             :      0.000u      0.000s      0.001w      1 calls
Hess: S                             :      0.000u      0.000s      0.000w      1 calls
Hess: JK                            :      0.000u      0.000s      0.356w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.089w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.063w     16 calls
DFH: initialize()                   :      0.000u      0.000s      0.470w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.043w    112 calls
| DFH: AO Construction              :      0.000u      0.000s      0.081w     16 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.045w     16 calls
HF: Form core H                     :      0.000u      0.000s      0.079w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.011w     16 calls
HF: Guess                           :      0.000u      0.000s      0.160w     16 calls
| SAD Guess                         :      0.000u      0.000s      0.156w      3 calls
HF: Form G                          :      0.000u      0.000s      4.624w    360 calls
| JK: D                             :      0.000u      0.000s      0.004w    360 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    360 calls
| JK: JK                            :      0.000u      0.000s      4.610w    360 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.184w    215 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    215 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.024w    215 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.094w    215 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.424w    145 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    360 calls
HF: Form F                          :      0.000u      0.000s      0.004w    360 calls
HF: Form D                          :      0.000u      0.000s      0.003w    360 calls
HF: DIIS                            :      0.000u      0.000s      0.357w    357 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.006w    344 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.025w    344 calls
| | bMatrix setup                   :      0.000u      0.000s      0.003w    344 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.008w    344 calls
| | New vector                      :      0.000u      0.000s      0.012w    344 calls
HF: Form C                          :      0.000u      0.000s      0.289w    357 calls
Grad: V T Perturb                   :      0.000u      0.000s      1.950w     15 calls
Grad: S                             :      0.000u      0.000s      0.003w     15 calls
Grad: JK                            :      0.000u      0.000s      1.180w     15 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.291w     90 calls
Grad: XC                            :      0.000u      0.000s      0.000w     15 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.000u      0.000s      0.281w      1 calls
Hess: T                             :      0.000u      0.000s      0.001w      1 calls
Hess: S                             :      0.000u      0.000s      0.000w      1 calls
Hess: JK                            :      0.000u      0.000s      0.356w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.020w      6 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.025w      7 calls
JK: D                               :      0.000u      0.000s      0.001w     14 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     14 calls
JK: JK                              :      0.000u      0.000s      2.308w     14 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.043w     14 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     14 calls

**************************************************************************************

Host: HogEye

Timers On : Mon Feb  7 16:47:43 2022
Timers Off: Mon Feb  7 16:48:03 2022

Wall Time:       20.26 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Mon Feb  7 16:52:42 2022
Timers Off: Mon Feb  7 16:53:00 2022

Wall Time:       17.95 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.073w     16 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.897w    390 calls
DFH: initialize()                   :      0.000u      0.000s      0.452w     16 calls
DFH: AO Construction                :      0.000u      0.000s      0.078w     16 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.042w     16 calls
HF: Form core H                     :      0.000u      0.000s      0.088w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.010w     16 calls
HF: Guess                           :      0.000u      0.000s      0.151w     16 calls
SAD Guess                           :      0.000u      0.000s      0.148w      3 calls
HF: Form G                          :      0.000u      0.000s      4.616w    360 calls
JK: D                               :      0.000u      0.000s      0.005w    374 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w    374 calls
JK: JK                              :      0.000u      0.000s      6.679w    374 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.188w    215 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    215 calls
DFH: compute_J                      :      0.000u      0.000s      0.025w    215 calls
DFH: compute_K                      :      0.000u      0.000s      0.097w    215 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    374 calls
HF: Form F                          :      0.000u      0.000s      0.004w    360 calls
HF: Form D                          :      0.000u      0.000s      0.003w    360 calls
HF: DIIS                            :      0.000u      0.000s      0.376w    357 calls
DIISManager::add_entry              :      0.000u      0.000s      0.006w    344 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.024w    344 calls
bMatrix setup                       :      0.000u      0.000s      0.003w    344 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.008w    344 calls
New vector                          :      0.000u      0.000s      0.012w    344 calls
HF: Form C                          :      0.000u      0.000s      0.297w    357 calls
Grad: V T Perturb                   :      0.000u      0.000s      2.109w     15 calls
Grad: S                             :      0.000u      0.000s      0.003w     15 calls
Grad: JK                            :      0.000u      0.000s      1.219w     15 calls
Grad: XC                            :      0.000u      0.000s      0.000w     15 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.000u      0.000s      0.273w      1 calls
Hess: T                             :      0.000u      0.000s      0.001w      1 calls
Hess: S                             :      0.000u      0.000s      0.000w      1 calls
Hess: JK                            :      0.000u      0.000s      0.325w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.073w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.047w     16 calls
DFH: initialize()                   :      0.000u      0.000s      0.452w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.044w    112 calls
| DFH: AO Construction              :      0.000u      0.000s      0.078w     16 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.042w     16 calls
HF: Form core H                     :      0.000u      0.000s      0.088w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.010w     16 calls
HF: Guess                           :      0.000u      0.000s      0.151w     16 calls
| SAD Guess                         :      0.000u      0.000s      0.148w      3 calls
HF: Form G                          :      0.000u      0.000s      4.616w    360 calls
| JK: D                             :      0.000u      0.000s      0.003w    360 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    360 calls
| JK: JK                            :      0.000u      0.000s      4.603w    360 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.188w    215 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    215 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.025w    215 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.097w    215 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.423w    145 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    360 calls
HF: Form F                          :      0.000u      0.000s      0.004w    360 calls
HF: Form D                          :      0.000u      0.000s      0.003w    360 calls
HF: DIIS                            :      0.000u      0.000s      0.376w    357 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.006w    344 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.024w    344 calls
| | bMatrix setup                   :      0.000u      0.000s      0.003w    344 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.008w    344 calls
| | New vector                      :      0.000u      0.000s      0.012w    344 calls
HF: Form C                          :      0.000u      0.000s      0.297w    357 calls
Grad: V T Perturb                   :      0.000u      0.000s      2.109w     15 calls
Grad: S                             :      0.000u      0.000s      0.003w     15 calls
Grad: JK                            :      0.000u      0.000s      1.219w     15 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.308w     90 calls
Grad: XC                            :      0.000u      0.000s      0.000w     15 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.000u      0.000s      0.273w      1 calls
Hess: T                             :      0.000u      0.000s      0.001w      1 calls
Hess: S                             :      0.000u      0.000s      0.000w      1 calls
Hess: JK                            :      0.000u      0.000s      0.325w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.020w      6 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.020w      7 calls
JK: D                               :      0.000u      0.000s      0.001w     14 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     14 calls
JK: JK                              :      0.000u      0.000s      2.077w     14 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.036w     14 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     14 calls

**************************************************************************************

Host: HogEye

Timers On : Mon Feb  7 16:52:41 2022
Timers Off: Mon Feb  7 16:53:00 2022

Wall Time:       19.31 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Tue Feb  8 15:11:29 2022
Timers Off: Tue Feb  8 15:11:46 2022

Wall Time:       17.62 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.102w     16 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.927w    390 calls
DFH: initialize()                   :      0.000u      0.000s      0.472w     16 calls
DFH: AO Construction                :      0.000u      0.000s      0.077w     16 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.044w     16 calls
HF: Form core H                     :      0.000u      0.000s      0.079w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.012w     16 calls
HF: Guess                           :      0.000u      0.000s      0.169w     16 calls
SAD Guess                           :      0.000u      0.000s      0.165w      3 calls
HF: Form G                          :      0.000u      0.000s      4.495w    360 calls
JK: D                               :      0.000u      0.000s      0.005w    374 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w    374 calls
JK: JK                              :      0.000u      0.000s      6.449w    374 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.198w    215 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    215 calls
DFH: compute_J                      :      0.000u      0.000s      0.024w    215 calls
DFH: compute_K                      :      0.000u      0.000s      0.095w    215 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    374 calls
HF: Form F                          :      0.000u      0.000s      0.003w    360 calls
HF: Form D                          :      0.000u      0.000s      0.003w    360 calls
HF: DIIS                            :      0.000u      0.000s      0.355w    357 calls
DIISManager::add_entry              :      0.000u      0.000s      0.006w    344 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.024w    344 calls
bMatrix setup                       :      0.000u      0.000s      0.003w    344 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.008w    344 calls
New vector                          :      0.000u      0.000s      0.012w    344 calls
HF: Form C                          :      0.000u      0.000s      0.285w    357 calls
Grad: V T Perturb                   :      0.000u      0.000s      1.945w     15 calls
Grad: S                             :      0.000u      0.000s      0.003w     15 calls
Grad: JK                            :      0.000u      0.000s      1.171w     15 calls
Grad: XC                            :      0.000u      0.000s      0.000w     15 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.000u      0.000s      0.287w      1 calls
Hess: T                             :      0.000u      0.000s      0.001w      1 calls
Hess: S                             :      0.000u      0.000s      0.000w      1 calls
Hess: JK                            :      0.000u      0.000s      0.344w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.102w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.073w     16 calls
DFH: initialize()                   :      0.000u      0.000s      0.472w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.044w    112 calls
| DFH: AO Construction              :      0.000u      0.000s      0.077w     16 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.044w     16 calls
HF: Form core H                     :      0.000u      0.000s      0.079w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.012w     16 calls
HF: Guess                           :      0.000u      0.000s      0.169w     16 calls
| SAD Guess                         :      0.000u      0.000s      0.165w      3 calls
HF: Form G                          :      0.000u      0.000s      4.495w    360 calls
| JK: D                             :      0.000u      0.000s      0.004w    360 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    360 calls
| JK: JK                            :      0.000u      0.000s      4.482w    360 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.198w    215 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    215 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.024w    215 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.095w    215 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.426w    145 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    360 calls
HF: Form F                          :      0.000u      0.000s      0.003w    360 calls
HF: Form D                          :      0.000u      0.000s      0.003w    360 calls
HF: DIIS                            :      0.000u      0.000s      0.355w    357 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.006w    344 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.024w    344 calls
| | bMatrix setup                   :      0.000u      0.000s      0.003w    344 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.008w    344 calls
| | New vector                      :      0.000u      0.000s      0.012w    344 calls
HF: Form C                          :      0.000u      0.000s      0.285w    357 calls
Grad: V T Perturb                   :      0.000u      0.000s      1.945w     15 calls
Grad: S                             :      0.000u      0.000s      0.003w     15 calls
Grad: JK                            :      0.000u      0.000s      1.171w     15 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.298w     90 calls
Grad: XC                            :      0.000u      0.000s      0.000w     15 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.000u      0.000s      0.287w      1 calls
Hess: T                             :      0.000u      0.000s      0.001w      1 calls
Hess: S                             :      0.000u      0.000s      0.000w      1 calls
Hess: JK                            :      0.000u      0.000s      0.344w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.023w      6 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.026w      7 calls
JK: D                               :      0.000u      0.000s      0.001w     14 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     14 calls
JK: JK                              :      0.000u      0.000s      1.967w     14 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.037w     14 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     14 calls

**************************************************************************************

Host: HogEye

Timers On : Tue Feb  8 15:11:04 2022
Timers Off: Tue Feb  8 15:11:47 2022

Wall Time:       42.93 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Tue Feb  8 16:21:12 2022
Timers Off: Tue Feb  8 16:21:13 2022

Wall Time:        1.12 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Tue Feb  8 16:23:52 2022
Timers Off: Tue Feb  8 16:23:53 2022

Wall Time:        1.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Tue Feb  8 16:25:29 2022
Timers Off: Tue Feb  8 16:26:20 2022

Wall Time:       50.84 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.251w     43 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.969w    817 calls
DFH: initialize()                   :      0.000u      0.000s      1.579w     43 calls
DFH: AO Construction                :      0.000u      0.000s      0.384w     43 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.195w     43 calls
HF: Form core H                     :      0.000u      0.000s      0.365w     43 calls
HF: Form S/X                        :      0.000u      0.000s      0.032w     43 calls
HF: Guess                           :      0.000u      0.000s      2.219w     43 calls
SAD Guess                           :      0.000u      0.000s      2.171w     43 calls
HF: Form G                          :      0.000u      0.000s     18.614w   1032 calls
JK: D                               :      0.000u      0.000s      0.010w   1032 calls
JK: USO2AO                          :      0.000u      0.000s      0.004w   1032 calls
JK: JK                              :      0.000u      0.000s     18.573w   1032 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.797w    645 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    645 calls
DFH: compute_J                      :      0.000u      0.000s      0.109w    645 calls
DFH: compute_K                      :      0.000u      0.000s      0.443w    645 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w   1032 calls
HF: Form F                          :      0.000u      0.000s      0.013w   1032 calls
HF: Form D                          :      0.000u      0.000s      0.008w   1032 calls
HF: DIIS                            :      0.000u      0.000s      1.030w    989 calls
DIISManager::add_entry              :      0.000u      0.000s      0.019w    989 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.075w    989 calls
bMatrix setup                       :      0.000u      0.000s      0.010w    989 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.025w    989 calls
New vector                          :      0.000u      0.000s      0.037w    989 calls
HF: Form C                          :      0.000u      0.000s      0.793w    989 calls
Grad: V T Perturb                   :      0.000u      0.000s      3.520w     43 calls
Grad: S                             :      0.000u      0.000s      0.010w     43 calls
Grad: JK                            :      0.000u      0.000s      5.811w     43 calls
Grad: XC                            :      0.000u      0.000s      0.000w     43 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.251w     43 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.132w     43 calls
DFH: initialize()                   :      0.000u      0.000s      1.579w     43 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.135w    215 calls
| DFH: AO Construction              :      0.000u      0.000s      0.384w     43 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.195w     43 calls
HF: Form core H                     :      0.000u      0.000s      0.365w     43 calls
HF: Form S/X                        :      0.000u      0.000s      0.032w     43 calls
